LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
80,180613,1,3,,,125,2,1,0,1,0,400,,5,0,12,40,28,,
80,180613,1,3,,,125,2,1,1,1,0,400,,5,2,6,58,44,,
80,180613,1,3,,,100,2,1,0,1,20,400,,5,0,10,42,32,,
80,180613,1,3,,,100,2,1,1,1,20,400,,5,3,20,80,36,,
80,180613,1,3,,,75,2,1,0,1,40,400,,5,0,7,30,24,,
80,180613,1,3,,,75,2,1,1,1,40,400,,5,5,19,70,42,,
80,180613,1,3,,,75,2,1,0,1,60,400,,5,1,17,47,30,,
80,180613,1,3,,,75,2,1,1,1,60,400,,5,7,24,67,19,,
80,180614,1,2,,,200,2,1,1,1,20,400,,5,8,17,63,18,,
80,180614,1,2,,,200,2,1,0,1,20,400,,5,12,16,33,17,,
80,180614,1,2,,,250,2,1,1,1,40,400,,4,8,15,55,40,,
80,180614,1,2,,,250,2,1,0,1,40,400,,4,1,4,43,39,,
80,180614,1,2,,,250,2,1,1,1,60,400,,5,4,2,55,53,,
80,180614,1,2,,,250,2,1,0,1,60,400,,5,8,14,61,23,,
80,180616,1,1,,,200,2,1,1,1,60,400,,5,4,1,25,24,,
80,180616,1,1,,,200,2,1,0,1,60,400,,3,5,1,37,28,,
80,180616,1,1,,,150,2,1,1,1,60,400,,2,4,44,86,22,,
80,180616,1,1,,,150,2,1,0,1,60,400,,4,1,0,34,34,,
80,180616,1,1,,,125,2,1,1,1,40,400,,1,0,1,20,2,,
80,180616,1,1,,,125,2,1,0,1,40,400,,2,4,1,68,8,,
80,180616,1,1,,,150,2,1,1,1,20,400,,1,0,1,20,4,,
80,180616,1,1,,,150,2,1,0,1,20,400,,2,4,1,66,4,,
80,180616,1,1,,,175,2,1,1,1,0,400,,0,0,1,22,5,,
80,180616,1,1,,,175,2,1,0,1,0,400,,4,4,30,55,25,,
80,180616,1,1,,,225,2,1,1,1,0,400,,3,6,25,52,20,,
80,180616,1,1,,,225,2,1,0,1,0,400,,4,6,23,47,24,,
80,180619,1,1,,,200,2,1,0,1,0,400,,4,3,9,61,31,,
80,180619,1,1,,,200,2,1,1,1,0,400,,5,2,21,51,27,,
80,180619,1,1,,,200,2,1,0,1,20,400,,5,4,14,47,33,,
80,180619,1,1,,,200,2,1,1,1,20,400,,5,2,17,48,31,,
80,180619,1,1,,,175,2,1,0,1,40,400,,5,1,19,46,27,,
80,180619,1,1,,,175,2,1,1,1,40,400,,5,1,7,57,50,,
80,180619,1,1,,,175,2,1,0,1,60,400,,5,0,20,53,33,,
