LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
80,180613,1,3,NaN,NaN,125,2,1,0,1,0,400,NaN,5,0,12,40,28,NaN,,0.183673469,0
80,180613,1,3,NaN,NaN,125,2,1,1,1,0,400,NaN,5,2,6,58,44,NaN,,0.183673469,0
80,180613,1,3,NaN,NaN,100,2,1,0,1,20,400,NaN,5,0,10,42,32,NaN,,0.31147541,0
80,180613,1,3,NaN,NaN,100,2,1,1,1,20,400,NaN,5,3,20,80,36,NaN,,0.31147541,0
80,180613,1,3,NaN,NaN,75,2,1,0,1,40,400,NaN,5,0,7,30,24,NaN,,0.4,0
80,180613,1,3,NaN,NaN,75,2,1,1,1,40,400,NaN,5,5,19,70,42,NaN,,0.4,0
80,180613,1,3,NaN,NaN,75,2,1,0,1,60,400,NaN,5,1,17,47,30,NaN,,0.175438596,0
80,180613,1,3,NaN,NaN,75,2,1,1,1,60,400,NaN,5,7,24,67,19,NaN,,0.175438596,0
80,180614,1,2,NaN,NaN,200,2,1,1,1,20,400,NaN,5,8,17,63,18,NaN,,0.3125,0
80,180614,1,2,NaN,NaN,200,2,1,0,1,20,400,NaN,5,12,16,33,17,NaN,,0.3125,0
80,180614,1,2,NaN,NaN,250,2,1,1,1,40,400,NaN,4,8,15,55,40,NaN,,0.12244898,0
80,180614,1,2,NaN,NaN,250,2,1,0,1,40,400,NaN,4,1,4,43,39,NaN,,0.12244898,0
80,180614,1,2,NaN,NaN,250,2,1,1,1,60,400,NaN,5,4,2,55,53,NaN,,-0.051724138,0
80,180614,1,2,NaN,NaN,250,2,1,0,1,60,400,NaN,5,8,14,61,23,NaN,,-0.051724138,0
80,180616,1,1,NaN,NaN,200,2,1,1,1,60,400,NaN,5,4,1,25,24,NaN,,-0.193548387,0
80,180616,1,1,NaN,NaN,200,2,1,0,1,60,400,NaN,3,5,1,37,28,NaN,,-0.193548387,0
80,180616,1,1,NaN,NaN,150,2,1,1,1,60,400,NaN,2,4,44,86,22,NaN,,0.433333333,0
80,180616,1,1,NaN,NaN,150,2,1,0,1,60,400,NaN,4,1,0,34,34,NaN,,0.433333333,0
80,180616,1,1,NaN,NaN,125,2,1,1,1,40,400,NaN,1,0,1,20,2,NaN,,-0.545454545,1
80,180616,1,1,NaN,NaN,125,2,1,0,1,40,400,NaN,2,4,1,68,8,NaN,,-0.545454545,1
80,180616,1,1,NaN,NaN,150,2,1,1,1,20,400,NaN,1,0,1,20,4,NaN,,-0.534883721,1
80,180616,1,1,NaN,NaN,150,2,1,0,1,20,400,NaN,2,4,1,66,4,NaN,,-0.534883721,1
80,180616,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,1,22,5,NaN,,-0.428571429,1
80,180616,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,4,4,30,55,25,NaN,,-0.428571429,1
80,180616,1,1,NaN,NaN,225,2,1,1,1,0,400,NaN,3,6,25,52,20,NaN,,0.050505051,0
80,180616,1,1,NaN,NaN,225,2,1,0,1,0,400,NaN,4,6,23,47,24,NaN,,0.050505051,0
80,180619,1,1,NaN,NaN,200,2,1,0,1,0,400,NaN,4,3,9,61,31,NaN,,-0.089285714,0
80,180619,1,1,NaN,NaN,200,2,1,1,1,0,400,NaN,5,2,21,51,27,NaN,,-0.089285714,0
80,180619,1,1,NaN,NaN,200,2,1,0,1,20,400,NaN,5,4,14,47,33,NaN,,0.010526316,0
80,180619,1,1,NaN,NaN,200,2,1,1,1,20,400,NaN,5,2,17,48,31,NaN,,0.010526316,0
